    Residual          Y-hat        Observation
   -0.447563         21.4424         20.9948    
    -3.10950         20.3544         17.2449    
   -0.946538         22.0270         21.0804    
    -1.01140         22.1825         21.1711    
    -2.00186         21.5070         19.5051    
    -2.35407         20.8304         18.4763    
   -0.997518         21.3056         20.3081    
    -1.98369         21.1114         19.1277    
    -1.53033         21.3591         19.8288    
    -1.95618         21.1847         19.2285    
   -0.974318         22.0224         21.0481    
    -1.11984         23.2488         22.1289    
    -2.70883         21.1979         18.4891    
    -1.93328         21.5797         19.6464    
    -1.09194         21.5130         20.4210    
    -2.61285         18.9619         16.3491    
    -1.70115         19.9079         18.2068    
    -2.20625         19.6589         17.4526    
    -1.19590         20.7453         19.5494    
    -1.29665         20.7773         19.4807    
    -2.90121         20.4113         17.5101    
    -1.76104         20.5991         18.8381    
    -2.05179         21.0942         19.0424    
    -1.05820         21.3993         20.3411    
    -1.32291         21.8397         20.5168    
    -2.02180         20.9122         18.8904    
    -1.46083         20.9213         19.4604    
    -1.12460         21.5139         20.3893    
    -1.99918         21.2572         19.2580    
    -2.59415         21.1216         18.5275    
    -1.64423         22.1859         20.5417    
    -3.77421         20.1984         16.4242    
   -0.129722         22.3141         22.1844    
   -0.727846         22.1003         21.3724    
    -1.08844         21.6016         20.5131    
    -1.13042         21.2690         20.1386    
    -2.61452         20.4581         17.8436    
    -1.32713         21.6977         20.3706    
    -2.08625         21.1449         19.0587    
    -1.37656         21.1276         19.7511    
   -0.285924         22.1287         21.8428    
    -2.19551         21.8996         19.7041    
    -1.06263         22.5408         21.4781    
    -1.87623         22.5655         20.6893    
   -0.149985         22.6520         22.5020    
    -2.70848         19.9950         17.2865    
    -1.05706         21.2929         20.2358    
   -0.339638         22.1730         21.8334    
    -2.64323         21.0565         18.4133    
   -0.577519E-01     22.4315         22.3737    
   -0.481491         22.1371         21.6556    
    0.608673         21.6737         22.2824    
    -2.69064         19.8130         17.1224    
   -0.946840         20.7659         19.8190    
    -2.49415         19.9204         17.4262    
    -2.31658         21.1701         18.8535    
    -1.35218         21.4788         20.1266    
    -1.73887         21.0289         19.2900    
    0.261886         22.3358         22.5977    
   -0.909074         21.7270         20.8179    
    0.419099         24.1950         24.6141    
    -1.63580         23.0649         21.4291    
    -1.23993         21.4920         20.2521    
    -1.14040         21.5285         20.3881    
    -2.51445         20.1660         17.6516    
    -1.15723         19.8152         18.6580    
    -2.20637         20.8500         18.6436    
    -1.05658         22.1484         21.0918    
    -1.06450         22.3489         21.2844    
    -2.17627         21.6766         19.5003    
   -0.883535         22.2429         21.3594    
    -3.09371         21.0284         17.9347    
    -1.84169         21.3160         19.4743    
    -1.53602         21.4831         19.9471    
   -0.755151         22.5510         21.7958    
    -2.12526         20.6768         18.5516    
    -1.10852         21.4836         20.3751    
    -1.40605         21.0528         19.6467    
   -0.364662         22.1921         21.8275    
    -3.41841         19.3885         15.9701    
    -1.23653         20.7059         19.4694    
   -0.944190         21.2520         20.3078    
   -0.473517         21.9448         21.4712    
   -0.713180         22.8000         22.0869    
    -2.19656         21.9895         19.7929    
    -1.08192         21.9417         20.8598    
    -1.96044         21.0468         19.0864    
    -2.09113         20.9754         18.8843    
    -1.18785         21.6401         20.4522    
   -0.568341         22.6235         22.0552    
    -2.04947         20.2241         18.1746    
    -2.10808         20.0873         17.9792    
   -0.981221         20.8078         19.8266    
    -1.43494         20.2571         18.8221    
    -1.13775         20.8562         19.7184    
    -1.74438         20.3052         18.5609    
   -0.856377         21.7816         20.9252    
    -1.02980         21.9591         20.9293    
    -1.89204         21.1791         19.2870    
   -0.572693         21.5238         20.9511    
    -2.23392         20.4445         18.2106    
    -1.03644         20.4648         19.4283    
    -1.43119         20.3202         18.8890    
    -1.13000         21.0578         19.9278    
    -1.35714         21.0349         19.6777    
    -1.62786         21.0852         19.4574    
    -4.12894         19.9722         15.8432    
     1.35758         22.9670         24.3246    
    -1.60465         21.2101         19.6055    
    -1.03180         21.4899         20.4581    
    -1.40728         20.9865         19.5792    
    -2.24220         21.1023         18.8601    
    -1.63333         21.0416         19.4082    
    -1.68264         21.0604         19.3778    
    -1.19713         21.3257         20.1286    
    -1.50801         19.8367         18.3287    
    -1.12171         20.7793         19.6575    
    -1.45609         20.5965         19.1404    
    -2.11695         21.0388         18.9218    
   -0.922489         21.6915         20.7690    
    -2.80409         20.6633         17.8592    
    -1.96199         21.4857         19.5237    
    -1.35852         21.6369         20.2783    
    -1.59600         21.0765         19.4805    
   -0.746584         23.1977         22.4511    
    -2.33832         22.1198         19.7814    
    -1.79978         22.3961         20.5963    
    -2.92601         20.3842         17.4582    
    -1.03265         21.9748         20.9422    
   -0.393396         22.5582         22.1648    
    -2.13223         20.2976         18.1654    
    -2.97069         20.4106         17.4399    
    -1.27721         20.7719         19.4947    
    -1.79202         21.4926         19.7006    
    -1.55486         21.4330         19.8782    
   -0.603750         23.1090         22.5053    
   -0.557852         22.9149         22.3571    
    -1.53076         22.3833         20.8525    
    -2.16866         21.3409         19.1723    
    -2.56206         21.1260         18.5639    
    -2.21522         21.3155         19.1003    
    -1.23369         22.1373         20.9036    
    -1.93085         21.8150         19.8842    
    -1.42361         21.6848         20.2612    
    -1.98835         21.5140         19.5256    
    -1.74530         21.2798         19.5345    
    -2.04031         21.4395         19.3992    
    -1.34604         20.7506         19.4045    
    -1.70763         20.6754         18.9678    
    -2.44892         20.4517         18.0028    
    -1.78699         21.1546         19.3676    
    -1.52442         21.0495         19.5251    
    -1.70325         21.0183         19.3151    
    -1.46068         20.9418         19.4811    
    -1.40571         21.7342         20.3285    
   -0.396666         22.0584         21.6617    
   -0.862841         22.2227         21.3599    
   -0.819747         21.5280         20.7083    
    -1.71671         20.7535         19.0368    
    -2.11383         20.0215         17.9077    
    -1.48880         20.3631         18.8743    
    -1.94337         20.0209         18.0776    
    -1.71617         19.9345         18.2183    
   -0.701755         21.0368         20.3351    
    -1.22334         20.5498         19.3265    
   -0.373261         22.4198         22.0466    
   -0.847293         21.4661         20.6188    
   -0.563639         23.1949         22.6313    
    -2.78597         21.1014         18.3155    
    -1.29525         19.8245         18.5293    
    -1.79724         20.3743         18.5771    
    -1.21469         20.3649         19.1502    
   -0.832093         20.8241         19.9920    
    -2.01007         19.2749         17.2648    
    -2.34501         19.8525         17.5075    
    -2.42180         20.1561         17.7343    
    -1.22075         21.8099         20.5891    
    -1.14264         21.8256         20.6829    
    -3.19328         19.5717         16.3784    
    -1.32547         22.1134         20.7879    
   -0.559843         22.6638         22.1039    
    -1.04698         21.3974         20.3504    
    -1.66515         21.0596         19.3945    
    -2.96961         21.3719         18.4023    
    -2.01153         21.1048         19.0933    
    -2.65783         21.5439         18.8861    
    -2.11476         20.9057         18.7910    
   -0.592954         21.6023         21.0093    
    -2.05442         21.3823         19.3278    
    -1.38757         21.5668         20.1792    
    -1.20939         22.3606         21.1513    
    -1.30828         21.7512         20.4430    
    -2.65735         21.4693         18.8120    
    -1.04630         21.8944         20.8481    
    -2.07150         20.0680         17.9965    
    -1.39156         21.1116         19.7200    
    -1.73654         20.7329         18.9964    
   -0.661079         21.8292         21.1681    
    -2.08317         20.7131         18.6299    
   -0.731076E-01     21.5754         21.5023    
   -0.743906         21.2613         20.5173    
    -1.99031         20.9952         19.0049    
    -2.31047         19.8107         17.5003    
    -2.71880         19.5876         16.8688    
    -2.81822         19.8548         17.0366    
    -1.93855         19.9745         18.0359    
    -1.30058         21.2746         19.9740    
    -1.21582         21.4723         20.2565    
    -1.02924         21.5742         20.5450    
    -1.76143         21.5659         19.8045    
    -1.13609         22.2913         21.1552    
   -0.582479         20.7730         20.1905    
    -1.29929         21.9370         20.6377    
    -1.74345         21.6943         19.9508    
    -1.54583         21.4420         19.8962    
    -1.69874         21.3609         19.6622    
   -0.760600         22.6101         21.8495    
    -2.46410         21.3049         18.8408    
    -1.51228         21.2116         19.6993    
    -2.32143         20.4061         18.0847    
   -0.412124         21.9337         21.5216    
    -2.13718         20.7835         18.6463    
    -1.14112         21.1009         19.9597    
    -2.22763         21.3677         19.1401    
    -2.28803         21.5356         19.2476    
    -1.87970         21.5578         19.6781    
    -1.28950         21.9079         20.6184    
    -1.98730         22.6008         20.6135    
    -1.33445         21.9935         20.6591    
   -0.819168         22.3566         21.5374    
    -1.69183         22.5545         20.8626    
    -2.52845         20.4299         17.9014    
    -1.06201         21.1580         20.0960    
   -0.384442         21.6751         21.2906    
    -1.94407         20.3537         18.4096    
   -0.918129         21.1979         20.2798    
    -2.50229         21.2465         18.7442    
    -1.52575         21.3263         19.8005    
    -2.17560         20.8857         18.7101    
    -1.90002         21.0363         19.1363    
   -0.552334         21.3650         20.8127    
    -2.69318         19.1844         16.4912    
    -1.38646         19.8985         18.5120    
    -2.48716         20.0387         17.5515    
    -1.97988         20.5171         18.5372    
    0.131522E-01     20.0271         20.0403    
    -2.03449         19.9210         17.8865    
   -0.391140E-01     21.9561         21.9170    
    -2.27653         21.2585         18.9820    
    -2.59883         20.7041         18.1053    
     1.66849         21.3702         23.0387    
     1.57755         22.4292         24.0068    
     1.76546         22.2159         23.9814    
    0.857757         20.4842         21.3420    
     3.00586         22.6954         25.7013    
     2.23382         21.9881         24.2219    
     1.97249         21.7025         23.6750    
     1.35289         20.8661         22.2190    
     2.90147         22.4450         25.3465    
     2.84122         22.6519         25.4931    
     2.39703         22.2619         24.6589    
     2.02314         21.1330         23.1561    
     1.98342         21.8239         23.8074    
